name,type,value,date,fName,lName,birth,country
Maleeva,8,109.0,1991-03-04,Katerina,Maleeva,19690507.0,BUL
Garrison,9,99.0,1991-03-04,Zina,Garrison,19631116.0,USA
Martinez,10,99.0,1991-03-04,Conchita,Martinez,19720416.0,ESP
Seles,1,250.0,1991-03-11,Monica,Seles,19731202.0,USA
Graf,2,237.0,1991-03-11,Steffi,Graf,19690614.0,GER
Navratilova,3,192.0,1991-03-11,Martina,Navratilova,19561018.0,USA
Sabatini,4,155.0,1991-03-11,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,5,127.0,1991-03-11,Arantxa,Sanchez Vicario,19711218.0,ESP
Fernandez,6,126.0,1991-03-11,Mary Joe,Fernandez,19710819.0,USA
Novotna,7,115.0,1991-03-11,Jana,Novotna,19681002.0,CZE
Maleeva,8,109.0,1991-03-11,Katerina,Maleeva,19690507.0,BUL
Garrison,9,99.0,1991-03-11,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,10,93.0,1991-03-11,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,250.0,1991-03-18,Monica,Seles,19731202.0,USA
Graf,2,237.0,1991-03-18,Steffi,Graf,19690614.0,GER
Navratilova,3,192.0,1991-03-18,Martina,Navratilova,19561018.0,USA
Sabatini,4,155.0,1991-03-18,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,5,127.0,1991-03-18,Arantxa,Sanchez Vicario,19711218.0,ESP
Fernandez,6,126.0,1991-03-18,Mary Joe,Fernandez,19710819.0,USA
Novotna,7,115.0,1991-03-18,Jana,Novotna,19681002.0,CZE
Maleeva,8,109.0,1991-03-18,Katerina,Maleeva,19690507.0,BUL
Garrison,9,99.0,1991-03-18,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,10,93.0,1991-03-18,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,254.0,1991-03-25,Monica,Seles,19731202.0,USA
Graf,2,231.0,1991-03-25,Steffi,Graf,19690614.0,GER
Navratilova,3,192.0,1991-03-25,Martina,Navratilova,19561018.0,USA
Sabatini,4,166.0,1991-03-25,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,5,127.0,1991-03-25,Arantxa,Sanchez Vicario,19711218.0,ESP
Fernandez,6,126.0,1991-03-25,Mary Joe,Fernandez,19710819.0,USA
Novotna,7,120.0,1991-03-25,Jana,Novotna,19681002.0,CZE
Maleeva,8,109.0,1991-03-25,Katerina,Maleeva,19690507.0,BUL
Garrison,9,103.0,1991-03-25,Zina,Garrison,19631116.0,USA
Capriati,10,94.0,1991-03-25,Jennifer,Capriati,19760329.0,USA
Seles,1,249.0,1991-04-01,Monica,Seles,19731202.0,USA
Graf,2,233.0,1991-04-01,Steffi,Graf,19690614.0,GER
Navratilova,3,200.0,1991-04-01,Martina,Navratilova,19561018.0,USA
Sabatini,4,176.0,1991-04-01,Gabriela,Sabatini,19700516.0,ARG
Fernandez,5,126.0,1991-04-01,Mary Joe,Fernandez,19710819.0,USA
Novotna,6,125.0,1991-04-01,Jana,Novotna,19681002.0,CZE
Sanchez Vicario,7,124.0,1991-04-01,Arantxa,Sanchez Vicario,19711218.0,ESP
Garrison,8,102.0,1991-04-01,Zina,Garrison,19631116.0,USA
Maleeva,9,96.0,1991-04-01,Katerina,Maleeva,19690507.0,BUL
Capriati,10,94.0,1991-04-01,Jennifer,Capriati,19760329.0,USA
Seles,1,249.0,1991-04-08,Monica,Seles,19731202.0,USA
Graf,2,233.0,1991-04-08,Steffi,Graf,19690614.0,GER
Navratilova,3,185.0,1991-04-08,Martina,Navratilova,19561018.0,USA
Sabatini,4,182.0,1991-04-08,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,5,128.0,1991-04-08,Arantxa,Sanchez Vicario,19711218.0,ESP
Fernandez,6,126.0,1991-04-08,Mary Joe,Fernandez,19710819.0,USA
Novotna,7,121.0,1991-04-08,Jana,Novotna,19681002.0,CZE
Garrison,8,105.0,1991-04-08,Zina,Garrison,19631116.0,USA
Maleeva,9,93.0,1991-04-08,Katerina,Maleeva,19690507.0,BUL
Maleeva Fragniere,10,89.0,1991-04-08,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,249.0,1991-04-15,Monica,Seles,19731202.0,USA
Graf,2,228.0,1991-04-15,Steffi,Graf,19690614.0,GER
Sabatini,3,194.0,1991-04-15,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,185.0,1991-04-15,Martina,Navratilova,19561018.0,USA
Fernandez,5,126.0,1991-04-15,Mary Joe,Fernandez,19710819.0,USA
Sanchez Vicario,6,123.0,1991-04-15,Arantxa,Sanchez Vicario,19711218.0,ESP
Novotna,7,121.0,1991-04-15,Jana,Novotna,19681002.0,CZE
Garrison,8,105.0,1991-04-15,Zina,Garrison,19631116.0,USA
Maleeva,9,93.0,1991-04-15,Katerina,Maleeva,19690507.0,BUL
Maleeva Fragniere,10,89.0,1991-04-15,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,249.0,1991-04-22,Monica,Seles,19731202.0,USA
Graf,2,228.0,1991-04-22,Steffi,Graf,19690614.0,GER
Sabatini,3,194.0,1991-04-22,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,185.0,1991-04-22,Martina,Navratilova,19561018.0,USA
Fernandez,5,127.0,1991-04-22,Mary Joe,Fernandez,19710819.0,USA
Sanchez Vicario,6,124.0,1991-04-22,Arantxa,Sanchez Vicario,19711218.0,ESP
Novotna,7,121.0,1991-04-22,Jana,Novotna,19681002.0,CZE
Garrison,8,99.0,1991-04-22,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,9,89.0,1991-04-22,Manuela,Maleeva Fragniere,19670214.0,SUI
Maleeva,10,84.0,1991-04-22,Katerina,Maleeva,19690507.0,BUL
Seles,1,249.0,1991-04-29,Monica,Seles,19731202.0,USA
Graf,2,228.0,1991-04-29,Steffi,Graf,19690614.0,GER
Sabatini,3,194.0,1991-04-29,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,175.0,1991-04-29,Martina,Navratilova,19561018.0,USA
Fernandez,5,131.0,1991-04-29,Mary Joe,Fernandez,19710819.0,USA
Novotna,6,121.0,1991-04-29,Jana,Novotna,19681002.0,CZE
Sanchez Vicario,7,120.0,1991-04-29,Arantxa,Sanchez Vicario,19711218.0,ESP
Martinez,8,101.0,1991-04-29,Conchita,Martinez,19720416.0,ESP
Garrison,9,99.0,1991-04-29,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,10,94.0,1991-04-29,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,245.0,1991-05-06,Monica,Seles,19731202.0,USA
Graf,2,229.0,1991-05-06,Steffi,Graf,19690614.0,GER
Sabatini,3,194.0,1991-05-06,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,181.0,1991-05-06,Martina,Navratilova,19561018.0,USA
Fernandez,5,131.0,1991-05-06,Mary Joe,Fernandez,19710819.0,USA
Novotna,6,117.0,1991-05-06,Jana,Novotna,19681002.0,CZE
Sanchez Vicario,7,114.0,1991-05-06,Arantxa,Sanchez Vicario,19711218.0,ESP
Martinez,8,101.0,1991-05-06,Conchita,Martinez,19720416.0,ESP
Garrison,9,99.0,1991-05-06,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,10,94.0,1991-05-06,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,239.0,1991-05-13,Monica,Seles,19731202.0,USA
Graf,2,229.0,1991-05-13,Steffi,Graf,19690614.0,GER
Sabatini,3,206.0,1991-05-13,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,168.0,1991-05-13,Martina,Navratilova,19561018.0,USA
Fernandez,5,129.0,1991-05-13,Mary Joe,Fernandez,19710819.0,USA
Sanchez Vicario,6,121.0,1991-05-13,Arantxa,Sanchez Vicario,19711218.0,ESP
Novotna,7,117.0,1991-05-13,Jana,Novotna,19681002.0,CZE
Martinez,8,108.0,1991-05-13,Conchita,Martinez,19720416.0,ESP
Garrison,9,99.0,1991-05-13,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,10,92.0,1991-05-13,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,235.0,1991-05-20,Monica,Seles,19731202.0,USA
Graf,2,234.0,1991-05-20,Steffi,Graf,19690614.0,GER
Sabatini,3,206.0,1991-05-20,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,168.0,1991-05-20,Martina,Navratilova,19561018.0,USA
Fernandez,5,129.0,1991-05-20,Mary Joe,Fernandez,19710819.0,USA
Sanchez Vicario,6,124.0,1991-05-20,Arantxa,Sanchez Vicario,19711218.0,ESP
Novotna,7,121.0,1991-05-20,Jana,Novotna,19681002.0,CZE
Martinez,8,103.0,1991-05-20,Conchita,Martinez,19720416.0,ESP
Garrison,9,99.0,1991-05-20,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,10,92.0,1991-05-20,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,235.0,1991-05-27,Monica,Seles,19731202.0,USA
Graf,2,234.0,1991-05-27,Steffi,Graf,19690614.0,GER
Sabatini,3,206.0,1991-05-27,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,168.0,1991-05-27,Martina,Navratilova,19561018.0,USA
Fernandez,5,129.0,1991-05-27,Mary Joe,Fernandez,19710819.0,USA
Sanchez Vicario,6,124.0,1991-05-27,Arantxa,Sanchez Vicario,19711218.0,ESP
Novotna,7,121.0,1991-05-27,Jana,Novotna,19681002.0,CZE
Martinez,8,108.0,1991-05-27,Conchita,Martinez,19720416.0,ESP
Maleeva Fragniere,9,100.0,1991-05-27,Manuela,Maleeva Fragniere,19670214.0,SUI
Garrison,10,99.0,1991-05-27,Zina,Garrison,19631116.0,USA
Seles,1,235.0,1991-06-03,Monica,Seles,19731202.0,USA
Graf,2,234.0,1991-06-03,Steffi,Graf,19690614.0,GER
Sabatini,3,206.0,1991-06-03,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,168.0,1991-06-03,Martina,Navratilova,19561018.0,USA
Fernandez,5,129.0,1991-06-03,Mary Joe,Fernandez,19710819.0,USA
Sanchez Vicario,6,124.0,1991-06-03,Arantxa,Sanchez Vicario,19711218.0,ESP
Novotna,7,121.0,1991-06-03,Jana,Novotna,19681002.0,CZE
Martinez,8,108.0,1991-06-03,Conchita,Martinez,19720416.0,ESP
Maleeva Fragniere,9,100.0,1991-06-03,Manuela,Maleeva Fragniere,19670214.0,SUI
Garrison,10,99.0,1991-06-03,Zina,Garrison,19631116.0,USA
Seles,1,235.0,1991-06-10,Monica,Seles,19731202.0,USA
Graf,2,228.0,1991-06-10,Steffi,Graf,19690614.0,GER
Sabatini,3,215.0,1991-06-10,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,168.0,1991-06-10,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,149.0,1991-06-10,Arantxa,Sanchez Vicario,19711218.0,ESP
Fernandez,6,129.0,1991-06-10,Mary Joe,Fernandez,19710819.0,USA
Novotna,7,114.0,1991-06-10,Jana,Novotna,19681002.0,CZE
Martinez,8,110.0,1991-06-10,Conchita,Martinez,19720416.0,ESP
Garrison,9,99.0,1991-06-10,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,10,94.0,1991-06-10,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,235.0,1991-06-17,Monica,Seles,19731202.0,USA
Graf,2,228.0,1991-06-17,Steffi,Graf,19690614.0,GER
Sabatini,3,215.0,1991-06-17,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,168.0,1991-06-17,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,149.0,1991-06-17,Arantxa,Sanchez Vicario,19711218.0,ESP
Fernandez,6,129.0,1991-06-17,Mary Joe,Fernandez,19710819.0,USA
Novotna,7,114.0,1991-06-17,Jana,Novotna,19681002.0,CZE
Martinez,8,110.0,1991-06-17,Conchita,Martinez,19720416.0,ESP
Maleeva Fragniere,9,94.0,1991-06-17,Manuela,Maleeva Fragniere,19670214.0,SUI
Garrison,10,93.0,1991-06-17,Zina,Garrison,19631116.0,USA
Seles,1,235.0,1991-06-24,Monica,Seles,19731202.0,USA
Graf,2,228.0,1991-06-24,Steffi,Graf,19690614.0,GER
Sabatini,3,215.0,1991-06-24,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,171.0,1991-06-24,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,149.0,1991-06-24,Arantxa,Sanchez Vicario,19711218.0,ESP
Fernandez,6,132.0,1991-06-24,Mary Joe,Fernandez,19710819.0,USA
Novotna,7,110.0,1991-06-24,Jana,Novotna,19681002.0,CZE
Martinez,8,110.0,1991-06-24,Conchita,Martinez,19720416.0,ESP
Garrison,9,97.0,1991-06-24,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,10,94.0,1991-06-24,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,235.0,1991-07-01,Monica,Seles,19731202.0,USA
Graf,2,228.0,1991-07-01,Steffi,Graf,19690614.0,GER
Sabatini,3,215.0,1991-07-01,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,171.0,1991-07-01,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,149.0,1991-07-01,Arantxa,Sanchez Vicario,19711218.0,ESP
Fernandez,6,132.0,1991-07-01,Mary Joe,Fernandez,19710819.0,USA
Novotna,7,110.0,1991-07-01,Jana,Novotna,19681002.0,CZE
Martinez,8,110.0,1991-07-01,Conchita,Martinez,19720416.0,ESP
Garrison,9,97.0,1991-07-01,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,10,94.0,1991-07-01,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,245.0,1991-07-08,Monica,Seles,19731202.0,USA
Graf,2,243.0,1991-07-08,Steffi,Graf,19690614.0,GER
Sabatini,3,221.0,1991-07-08,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,4,156.0,1991-07-08,Arantxa,Sanchez Vicario,19711218.0,ESP
Navratilova,5,141.0,1991-07-08,Martina,Navratilova,19561018.0,USA
Fernandez,6,137.0,1991-07-08,Mary Joe,Fernandez,19710819.0,USA
Martinez,7,110.0,1991-07-08,Conchita,Martinez,19720416.0,ESP
Novotna,8,106.0,1991-07-08,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,9,100.0,1991-07-08,Manuela,Maleeva Fragniere,19670214.0,SUI
Capriati,10,87.0,1991-07-08,Jennifer,Capriati,19760329.0,USA
Seles,1,245.0,1991-07-15,Monica,Seles,19731202.0,USA
Graf,2,243.0,1991-07-15,Steffi,Graf,19690614.0,GER
Sabatini,3,221.0,1991-07-15,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,4,156.0,1991-07-15,Arantxa,Sanchez Vicario,19711218.0,ESP
Navratilova,5,141.0,1991-07-15,Martina,Navratilova,19561018.0,USA
Fernandez,6,137.0,1991-07-15,Mary Joe,Fernandez,19710819.0,USA
Martinez,7,110.0,1991-07-15,Conchita,Martinez,19720416.0,ESP
Novotna,8,106.0,1991-07-15,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,9,100.0,1991-07-15,Manuela,Maleeva Fragniere,19670214.0,SUI
Capriati,10,87.0,1991-07-15,Jennifer,Capriati,19760329.0,USA
Seles,1,245.0,1991-07-22,Monica,Seles,19731202.0,USA
Graf,2,243.0,1991-07-22,Steffi,Graf,19690614.0,GER
Sabatini,3,221.0,1991-07-22,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,4,152.0,1991-07-22,Arantxa,Sanchez Vicario,19711218.0,ESP
Navratilova,5,141.0,1991-07-22,Martina,Navratilova,19561018.0,USA
Fernandez,6,137.0,1991-07-22,Mary Joe,Fernandez,19710819.0,USA
Martinez,7,114.0,1991-07-22,Conchita,Martinez,19720416.0,ESP
Novotna,8,106.0,1991-07-22,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,9,100.0,1991-07-22,Manuela,Maleeva Fragniere,19670214.0,SUI
Capriati,10,87.0,1991-07-22,Jennifer,Capriati,19760329.0,USA
Seles,1,245.0,1991-07-29,Monica,Seles,19731202.0,USA
Graf,2,243.0,1991-07-29,Steffi,Graf,19690614.0,GER
Sabatini,3,221.0,1991-07-29,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,4,152.0,1991-07-29,Arantxa,Sanchez Vicario,19711218.0,ESP
Navratilova,5,141.0,1991-07-29,Martina,Navratilova,19561018.0,USA
Fernandez,6,137.0,1991-07-29,Mary Joe,Fernandez,19710819.0,USA
Martinez,7,114.0,1991-07-29,Conchita,Martinez,19720416.0,ESP
Novotna,8,106.0,1991-07-29,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,9,100.0,1991-07-29,Manuela,Maleeva Fragniere,19670214.0,SUI
Capriati,10,87.0,1991-07-29,Jennifer,Capriati,19760329.0,USA
Graf,1,241.0,1991-08-05,Steffi,Graf,19690614.0,GER
Seles,2,239.0,1991-08-05,Monica,Seles,19731202.0,USA
Sabatini,3,228.0,1991-08-05,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,4,152.0,1991-08-05,Arantxa,Sanchez Vicario,19711218.0,ESP
Navratilova,5,141.0,1991-08-05,Martina,Navratilova,19561018.0,USA
Fernandez,6,137.0,1991-08-05,Mary Joe,Fernandez,19710819.0,USA
Martinez,7,113.0,1991-08-05,Conchita,Martinez,19720416.0,ESP
Capriati,8,107.0,1991-08-05,Jennifer,Capriati,19760329.0,USA
Novotna,9,106.0,1991-08-05,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,99.0,1991-08-05,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,239.0,1991-08-12,Monica,Seles,19731202.0,USA
Graf,2,239.0,1991-08-12,Steffi,Graf,19690614.0,GER
Sabatini,3,221.0,1991-08-12,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,4,152.0,1991-08-12,Arantxa,Sanchez Vicario,19711218.0,ESP
Navratilova,5,141.0,1991-08-12,Martina,Navratilova,19561018.0,USA
Fernandez,6,137.0,1991-08-12,Mary Joe,Fernandez,19710819.0,USA
Capriati,7,118.0,1991-08-12,Jennifer,Capriati,19760329.0,USA
Martinez,8,113.0,1991-08-12,Conchita,Martinez,19720416.0,ESP
Novotna,9,102.0,1991-08-12,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,96.0,1991-08-12,Manuela,Maleeva Fragniere,19670214.0,SUI
Graf,1,239.0,1991-08-19,Steffi,Graf,19690614.0,GER
Seles,2,236.0,1991-08-19,Monica,Seles,19731202.0,USA
Sabatini,3,226.0,1991-08-19,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,4,149.0,1991-08-19,Arantxa,Sanchez Vicario,19711218.0,ESP
Fernandez,5,139.0,1991-08-19,Mary Joe,Fernandez,19710819.0,USA
Navratilova,6,137.0,1991-08-19,Martina,Navratilova,19561018.0,USA
Capriati,7,118.0,1991-08-19,Jennifer,Capriati,19760329.0,USA
Martinez,8,113.0,1991-08-19,Conchita,Martinez,19720416.0,ESP
Novotna,9,107.0,1991-08-19,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,96.0,1991-08-19,Manuela,Maleeva Fragniere,19670214.0,SUI
Graf,1,239.0,1991-08-26,Steffi,Graf,19690614.0,GER
Seles,2,236.0,1991-08-26,Monica,Seles,19731202.0,USA
Sabatini,3,226.0,1991-08-26,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,4,156.0,1991-08-26,Arantxa,Sanchez Vicario,19711218.0,ESP
Navratilova,5,137.0,1991-08-26,Martina,Navratilova,19561018.0,USA
Fernandez,6,137.0,1991-08-26,Mary Joe,Fernandez,19710819.0,USA
Capriati,7,118.0,1991-08-26,Jennifer,Capriati,19760329.0,USA
Martinez,8,113.0,1991-08-26,Conchita,Martinez,19720416.0,ESP
Novotna,9,104.0,1991-08-26,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,96.0,1991-08-26,Manuela,Maleeva Fragniere,19670214.0,SUI
Graf,1,239.0,1991-09-02,Steffi,Graf,19690614.0,GER
Seles,2,236.0,1991-09-02,Monica,Seles,19731202.0,USA
Sabatini,3,226.0,1991-09-02,Gabriela,Sabatini,19700516.0,ARG
Sanchez Vicario,4,156.0,1991-09-02,Arantxa,Sanchez Vicario,19711218.0,ESP
Navratilova,5,137.0,1991-09-02,Martina,Navratilova,19561018.0,USA
Fernandez,6,137.0,1991-09-02,Mary Joe,Fernandez,19710819.0,USA
Capriati,7,118.0,1991-09-02,Jennifer,Capriati,19760329.0,USA
Martinez,8,113.0,1991-09-02,Conchita,Martinez,19720416.0,ESP
Novotna,9,104.0,1991-09-02,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,96.0,1991-09-02,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,265.0,1991-09-09,Monica,Seles,19731202.0,USA
Graf,2,232.0,1991-09-09,Steffi,Graf,19690614.0,GER
Sabatini,3,205.0,1991-09-09,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,165.0,1991-09-09,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,148.0,1991-09-09,Arantxa,Sanchez Vicario,19711218.0,ESP
Capriati,6,129.0,1991-09-09,Jennifer,Capriati,19760329.0,USA
Fernandez,7,127.0,1991-09-09,Mary Joe,Fernandez,19710819.0,USA
Martinez,8,119.0,1991-09-09,Conchita,Martinez,19720416.0,ESP
Novotna,9,100.0,1991-09-09,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,89.0,1991-09-09,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,265.0,1991-09-16,Monica,Seles,19731202.0,USA
Graf,2,232.0,1991-09-16,Steffi,Graf,19690614.0,GER
Sabatini,3,205.0,1991-09-16,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,165.0,1991-09-16,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,148.0,1991-09-16,Arantxa,Sanchez Vicario,19711218.0,ESP
Capriati,6,129.0,1991-09-16,Jennifer,Capriati,19760329.0,USA
Fernandez,7,127.0,1991-09-16,Mary Joe,Fernandez,19710819.0,USA
Martinez,8,119.0,1991-09-16,Conchita,Martinez,19720416.0,ESP
Novotna,9,100.0,1991-09-16,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,89.0,1991-09-16,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,263.0,1991-09-23,Monica,Seles,19731202.0,USA
Graf,2,232.0,1991-09-23,Steffi,Graf,19690614.0,GER
Sabatini,3,205.0,1991-09-23,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,165.0,1991-09-23,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,148.0,1991-09-23,Arantxa,Sanchez Vicario,19711218.0,ESP
Capriati,6,129.0,1991-09-23,Jennifer,Capriati,19760329.0,USA
Fernandez,7,129.0,1991-09-23,Mary Joe,Fernandez,19710819.0,USA
Martinez,8,119.0,1991-09-23,Conchita,Martinez,19720416.0,ESP
Novotna,9,100.0,1991-09-23,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,89.0,1991-09-23,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,279.0,1991-09-30,Monica,Seles,19731202.0,USA
Graf,2,231.0,1991-09-30,Steffi,Graf,19690614.0,GER
Sabatini,3,205.0,1991-09-30,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,161.0,1991-09-30,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,148.0,1991-09-30,Arantxa,Sanchez Vicario,19711218.0,ESP
Capriati,6,135.0,1991-09-30,Jennifer,Capriati,19760329.0,USA
Fernandez,7,122.0,1991-09-30,Mary Joe,Fernandez,19710819.0,USA
Martinez,8,121.0,1991-09-30,Conchita,Martinez,19720416.0,ESP
Novotna,9,100.0,1991-09-30,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,91.0,1991-09-30,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,279.0,1991-10-07,Monica,Seles,19731202.0,USA
Graf,2,232.0,1991-10-07,Steffi,Graf,19690614.0,GER
Sabatini,3,205.0,1991-10-07,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,176.0,1991-10-07,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,144.0,1991-10-07,Arantxa,Sanchez Vicario,19711218.0,ESP
Capriati,6,135.0,1991-10-07,Jennifer,Capriati,19760329.0,USA
Fernandez,7,121.0,1991-10-07,Mary Joe,Fernandez,19710819.0,USA
Martinez,8,120.0,1991-10-07,Conchita,Martinez,19720416.0,ESP
Novotna,9,105.0,1991-10-07,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,91.0,1991-10-07,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,279.0,1991-10-14,Monica,Seles,19731202.0,USA
Graf,2,229.0,1991-10-14,Steffi,Graf,19690614.0,GER
Sabatini,3,199.0,1991-10-14,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,176.0,1991-10-14,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,144.0,1991-10-14,Arantxa,Sanchez Vicario,19711218.0,ESP
Capriati,6,135.0,1991-10-14,Jennifer,Capriati,19760329.0,USA
Fernandez,7,121.0,1991-10-14,Mary Joe,Fernandez,19710819.0,USA
Martinez,8,120.0,1991-10-14,Conchita,Martinez,19720416.0,ESP
Novotna,9,102.0,1991-10-14,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,91.0,1991-10-14,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,279.0,1991-10-21,Monica,Seles,19731202.0,USA
Graf,2,229.0,1991-10-21,Steffi,Graf,19690614.0,GER
Sabatini,3,204.0,1991-10-21,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,176.0,1991-10-21,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,144.0,1991-10-21,Arantxa,Sanchez Vicario,19711218.0,ESP
Capriati,6,135.0,1991-10-21,Jennifer,Capriati,19760329.0,USA
Fernandez,7,110.0,1991-10-21,Mary Joe,Fernandez,19710819.0,USA
Martinez,8,109.0,1991-10-21,Conchita,Martinez,19720416.0,ESP
Novotna,9,102.0,1991-10-21,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,91.0,1991-10-21,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,279.0,1991-10-28,Monica,Seles,19731202.0,USA
Graf,2,229.0,1991-10-28,Steffi,Graf,19690614.0,GER
Sabatini,3,204.0,1991-10-28,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,176.0,1991-10-28,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,144.0,1991-10-28,Arantxa,Sanchez Vicario,19711218.0,ESP
Capriati,6,132.0,1991-10-28,Jennifer,Capriati,19760329.0,USA
Fernandez,7,110.0,1991-10-28,Mary Joe,Fernandez,19710819.0,USA
Martinez,8,109.0,1991-10-28,Conchita,Martinez,19720416.0,ESP
Novotna,9,102.0,1991-10-28,Jana,Novotna,19681002.0,CZE
Maleeva Fragniere,10,91.0,1991-10-28,Manuela,Maleeva Fragniere,19670214.0,SUI
Seles,1,279.0,1991-11-04,Monica,Seles,19731202.0,USA
Graf,2,229.0,1991-11-04,Steffi,Graf,19690614.0,GER
Sabatini,3,204.0,1991-11-04,Gabriela,Sabatini,19700516.0,ARG
Navratilova,4,178.0,1991-11-04,Martina,Navratilova,19561018.0,USA
Sanchez Vicario,5,144.0,1991-11-04,Arantxa,Sanchez Vicario,19711218.0,ESP
Capriati,6,132.0,1991-11-04,Jennifer,Capriati,19760329.0,USA
Fernandez,7,110.0,1991-11-04,Mary Joe,Fernandez,19710819.0,USA
